Price,Close,High,Low,Open,Volume
Ticker,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS
Date,,,,,
2006-04-21,214.65753173828125,221.82609622061003,213.28151922762004,219.76208422759993,169260
2006-04-24,215.58963012695312,219.54010643753912,214.01386913193699,214.61310180480336,189364
2006-04-25,217.09881591796875,219.22940609026506,214.8350553936777,217.05442580063718,108376
2006-04-26,216.23326110839844,218.36386487658842,214.94602895138743,218.36386487658842,40234
2006-04-27,215.94473266601562,219.2737881541865,215.27892156838146,215.3233116840827,59474
2006-04-28,208.6652069091797,217.0544242795018,198.67804014785293,198.67804014785293,231700
2006-05-02,212.50473022460938,217.45392384336333,211.550403597023,215.2789434129202,73166
2006-05-03,223.26869201660156,226.8196851301857,213.52564924281964,215.2789575110373,197118
2006-05-04,224.6890869140625,228.0181428429791,223.26868429933947,223.26868429933947,74948
2006-05-05,220.22813415527344,227.70741552246506,209.95245134917343,215.10139366862055,31298
2006-05-08,221.67071533203125,223.2686647471676,220.1615461522766,221.93704249221432,31290
2006-05-09,221.3600616455078,222.82484103873097,220.27256447304828,222.82484103873097,39472
2006-05-10,215.12359619140625,224.9554055438008,213.0595841788662,224.9554055438008,78020
2006-05-11,212.74887084960938,217.49832958755997,210.8624057460438,217.49832958755997,26180
2006-05-12,212.43817138671875,215.2789632440453,210.39634758284015,213.1705610267067,75136
2006-05-15,203.9601287841797,215.01259007221503,202.00708564647226,215.01259007221503,50210
2006-05-16,199.2550506591797,216.16665402182457,190.86583414658023,213.0595357915314,149252
2006-05-17,207.40016174316406,212.39374509171537,201.07495616833242,208.1325512584259,109940
2006-05-18,199.9652862548828,205.9575867308893,195.30460810687777,199.7433492002159,63044
2006-05-19,197.2798309326172,217.49828890083026,190.8658453619531,217.49828890083026,87708
2006-05-22,184.1189727783203,199.74334664541325,173.1330887128226,191.75361277959672,176842
2006-05-23,180.54583740234375,190.86591292687845,175.33031536306277,181.98842860469807,94502
2006-05-24,184.96231079101562,190.8658298781655,181.98834941871596,188.6464597633031,89464
2006-05-25,183.4753875732422,187.7587705273808,178.43741312531225,186.87102220337428,154742
2006-05-26,188.22482299804688,196.19236920189388,183.320019186385,187.2704963095381,258662
2006-05-29,188.46896362304688,191.57608262068462,185.98326571574393,190.86588128346037,103566
2006-05-30,189.77838134765625,194.41687148526785,182.60981676349948,194.41687148526785,61146
2006-05-31,183.74168395996094,187.75873903390914,179.81339557594558,182.01056418174383,85816
2006-06-01,186.31614685058594,190.8658562138224,175.3746533837999,188.64648579273145,109446
2006-06-02,183.94143676757812,186.38274448264144,177.10577787459354,184.20776395477773,25522
