Price,Close,High,Low,Open,Volume
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
Date,,,,,
2006-04-21,781.9405517578125,792.0602510269576,763.6472999935673,763.7337719430014,2712753
2006-04-24,777.1401977539062,787.0869003406285,774.2427011603323,785.3570390211986,1070896
2006-04-25,751.0626220703125,780.1675639482715,744.0567038652999,780.1675639482715,728663
2006-04-26,798.7634887695312,803.4341355918564,755.9494197992099,765.2906606526805,2714610
2006-04-27,777.5726318359375,814.7646487090691,771.5181174612417,803.4340786386086,2868782
2006-04-28,795.6929931640625,799.9744106073452,736.9209426383654,743.8403881091482,1680507
2006-05-02,814.9376831054688,825.1438543940357,802.6556571044707,803.520587769454,1123515
2006-05-03,833.3175659179688,837.1232296541071,808.7102748054899,815.1972556194377,1450104
2006-05-04,828.3009643554688,836.4312818338378,818.2244998737424,829.4685997662991,805189
2006-05-05,813.640380859375,830.1605373476124,808.8400256738345,828.603672529489,684786
2006-05-08,812.6456298828125,823.327555719031,810.2238344773053,819.9543048673451,322648
2006-05-09,835.3500366210938,843.2641734257936,802.0069696076138,813.8997664068638,1157505
2006-05-10,824.2356567382812,841.145040044173,817.4892083635143,838.9827134630826,479457
2006-05-11,810.6130981445312,825.7493860582746,804.7315796848562,822.5491317697036,467409
2006-05-12,806.8074951171875,819.9544547387472,795.9526233895908,804.7316927292718,652088
2006-05-15,766.1123657226562,812.5591547616224,752.4897072297048,806.1154105035457,854223
2006-05-16,763.1283569335938,774.1129875384652,744.7053433191268,761.139026853463,1458313
2006-05-17,789.29248046875,792.1900299177607,762.0039281078018,773.9399609183374,1679574
2006-05-18,709.6756591796875,789.6385151872379,683.3817440485134,789.249285803126,1112635
2006-05-19,677.71630859375,738.9966685332956,665.5208091945613,717.8923424110098,1480598
2006-05-22,647.4869995117188,696.269104469264,566.5295197855502,694.4527714001608,876824
2006-05-23,696.874755859375,709.2432557365433,570.8543277879495,619.8093899332899,881671
2006-05-24,659.6825561523438,704.4427131400128,648.7843992980339,702.3236226857437,859547
2006-05-25,685.8468017578125,704.9185129297621,618.6416765313035,654.6227721484242,1258490
2006-05-26,684.7655639648438,701.4587139228998,674.6458654252305,690.2146161658127,1109850
2006-05-29,684.4197387695312,702.0643483938875,681.2194842172173,701.4588862692032,550832
2006-05-30,665.0018920898438,695.3177528281905,653.23885666784,687.619849124042,601594
2006-05-31,635.7241821289062,653.2390320447026,611.2034133632674,653.2390320447026,1168220
2006-06-01,591.2666625976562,653.8876724515545,580.498316573962,639.5298425591718,3005035
2006-06-02,665.7371215820312,708.7241847814029,596.8021392833821,596.8021392833821,3803522
2006-06-05,636.6323852539062,683.2954183704836,632.5671994218179,683.2954183704836,1940278
2006-06-06,632.1779174804688,649.9954701293505,610.6411203078129,614.100843369047,2297473
2006-06-07,618.8578491210938,648.5681943460768,605.4514247166536,631.3993429187959,1406858
2006-06-08,621.1067504882812,634.8591705304135,583.8282562779688,613.2359017793776,1674681
2006-06-09,666.0400390625,672.9162503797606,612.3710864638439,612.3710864638439,1043767
2006-06-12,649.26025390625,682.8627906314921,641.9515789011031,665.9966419078517,1587384
2006-06-13,607.4407958984375,641.9515505726779,599.483423216606,641.9515505726779,1341620
